City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Lebu,CL,-37.6167,-73.65,50.18,94,67,5.73,broken clouds
269,Meteti,PA,8.4983,-77.9786,73.74,96,100,1.01,overcast clouds
270,Ilinskiy,RU,55.619,38.1182,39.54,93,7,4.47,mist
271,Batagay-Alyta,RU,67.8006,130.4114,3.13,82,63,6.6,broken clouds
272,Gamba,GA,-2.65,10.0,75.79,89,100,8.43,light rain
273,Kotelnich,RU,58.3089,48.348,37.56,97,100,5.3,overcast clouds
274,Lorengau,PG,-2.0226,147.2712,82.67,80,100,12.12,overcast clouds
275,Camacha,PT,33.0833,-16.3333,67.42,88,40,8.05,scattered clouds
276,Ames,US,42.0347,-93.6199,40.06,75,1,3.0,clear sky
277,Charlestown,AU,-32.95,151.6667,74.82,56,100,3.0,overcast clouds
278,Chicama,PE,-7.8447,-79.1469,59.54,77,24,5.23,few clouds
279,Adeje,ES,28.1227,-16.726,70.88,61,0,11.5,clear sky
280,Janesville,US,42.6828,-89.0187,42.15,64,1,3.44,clear sky
281,Marondera,ZW,-18.1853,31.5519,60.01,64,7,0.49,clear sky
282,Harper,LR,4.375,-7.7169,77.07,87,78,7.81,broken clouds
283,Kinablangan,PH,7.6947,126.5503,83.88,75,91,10.36,light rain
284,Namibe,AO,-15.1961,12.1522,63.59,82,19,6.42,few clouds
285,Ahipara,NZ,-35.1667,173.1667,61.54,61,50,14.18,scattered clouds
286,Sola,VU,-13.8833,167.55,80.92,74,16,13.89,few clouds
287,Puerto Escondido,MX,15.85,-97.0667,81.43,74,75,3.44,broken clouds
288,Fortuna,US,40.5982,-124.1573,60.98,70,90,3.0,overcast clouds
289,Labytnangi,RU,66.6572,66.4183,6.55,85,79,6.42,broken clouds
290,Mpika,ZM,-11.8343,31.4529,66.81,42,77,3.49,broken clouds
291,Pisco,PE,-13.7,-76.2167,62.65,88,0,12.66,clear sky
292,Sitka,US,57.0531,-135.33,49.89,43,75,9.22,broken clouds
293,Lasa,IT,46.6166,10.7002,48.94,98,100,3.71,overcast clouds
294,Norman Wells,CA,65.282,-126.8329,17.64,93,75,2.3,broken clouds
295,Poronaysk,RU,49.2167,143.1167,34.21,48,0,5.66,clear sky
296,Eyl,SO,7.9803,49.8164,77.18,80,21,12.12,few clouds
297,Cabo Rojo,PR,18.0866,-67.1457,79.68,86,10,2.75,clear sky
298,Isangel,VU,-19.55,169.2667,82.51,57,75,11.5,broken clouds
299,North Platte,US,41.1239,-100.7654,33.69,93,90,0.0,snow
300,Cabo San Lucas,MX,22.8909,-109.9124,79.9,81,75,3.0,broken clouds
